date,sunrise,sunset
12/1/2020,7:56,15:57
12/2/2020,7:57,15:56
12/3/2020,7:58,15:55
12/4/2020,8:00,15:55
12/5/2020,8:01,15:55
12/6/2020,8:02,15:54
12/7/2020,8:03,15:54
12/8/2020,8:05,15:53
12/9/2020,8:06,15:53
12/10/2020,8:07,15:53
12/11/2020,8:08,15:53
12/12/2020,8:09,15:53
12/13/2020,8:10,15:53
12/14/2020,8:11,15:53
12/15/2020,8:12,15:53
12/16/2020,8:12,15:53
12/17/2020,8:13,15:54
12/18/2020,8:14,15:54
12/19/2020,8:15,15:54
12/20/2020,8:15,15:55
12/21/2020,8:16,15:55
12/22/2020,8:16,15:56
12/23/2020,8:17,15:56
12/24/2020,8:17,15:57
12/25/2020,8:17,15:58
12/26/2020,8:17,15:58
12/27/2020,8:18,15:59
12/28/2020,8:18,16:00
12/29/2020,8:18,16:01
12/30/2020,8:18,16:02
12/31/2020,8:18,16:03
1/1/2021,8:18,16:04
1/2/2021,8:17,16:05
1/3/2021,8:17,16:06
1/4/2021,8:17,16:08
1/5/2021,8:17,16:09
1/6/2021,8:16,16:10
1/7/2021,8:16,16:11
1/8/2021,8:15,16:13
1/9/2021,8:15,16:14
1/10/2021,8:14,16:16
1/11/2021,8:13,16:17
1/12/2021,8:13,16:19
1/13/2021,8:12,16:20
1/14/2021,8:11,16:22
1/15/2021,8:10,16:23
1/16/2021,8:09,16:25
1/17/2021,8:08,16:27
1/18/2021,8:07,16:28
1/19/2021,8:06,16:30
1/20/2021,8:05,16:32
1/21/2021,8:04,16:34
1/22/2021,8:03,16:35
1/23/2021,8:01,16:37
1/24/2021,8:00,16:39
1/25/2021,7:59,16:41
1/26/2021,7:57,16:43
1/27/2021,7:56,16:44
1/28/2021,7:55,16:46
1/29/2021,7:53,16:48
1/30/2021,7:51,16:50
1/31/2021,7:50,16:52
2/1/2021,7:48,16:54
2/2/2021,7:47,16:56
2/3/2021,7:45,16:57
2/4/2021,7:43,16:59
2/5/2021,7:42,17:01
2/6/2021,7:40,17:03
2/7/2021,7:38,17:05
2/8/2021,7:36,17:07
2/9/2021,7:34,17:09
2/10/2021,7:33,17:11
2/11/2021,7:31,17:13
2/12/2021,7:29,17:15
2/13/2021,7:27,17:17
2/14/2021,7:25,17:18
2/15/2021,7:23,17:20
2/16/2021,7:21,17:22
2/17/2021,7:19,17:24
2/18/2021,7:17,17:26
2/19/2021,7:15,17:28
2/20/2021,7:13,17:30
2/21/2021,7:11,17:32
2/22/2021,7:08,17:34
2/23/2021,7:06,17:35
2/24/2021,7:04,17:37
2/25/2021,7:02,17:39
2/26/2021,7:00,17:41
2/27/2021,6:58,17:43
2/28/2021,6:55,17:45
3/1/2021,6:53,17:46
3/2/2021,6:51,17:48
3/3/2021,6:49,17:50
3/4/2021,6:46,17:52
3/5/2021,6:44,17:54
3/6/2021,6:42,17:56
3/7/2021,6:40,17:57
3/8/2021,6:37,17:59
3/9/2021,6:35,18:01
3/10/2021,6:33,18:03
3/11/2021,6:30,18:05
3/12/2021,6:28,18:06
3/13/2021,6:26,18:08
3/14/2021,6:23,18:10
3/15/2021,6:21,18:12
3/16/2021,6:19,18:14
3/17/2021,6:16,18:15
3/18/2021,6:14,18:17
3/19/2021,6:12,18:19
3/20/2021,6:09,18:21
3/21/2021,6:07,18:22
3/22/2021,6:05,18:24
3/23/2021,6:02,18:26
3/24/2021,6:00,18:28
3/25/2021,5:58,18:29
3/26/2021,5:55,18:31
3/27/2021,5:53,18:33
3/28/2021,6:51,19:35
3/29/2021,6:48,19:36
3/30/2021,6:46,19:38
3/31/2021,6:44,19:40
